# Exp C main block (H) for participant 3157
# Date: 2026-03-09 15:04:29

0:00:00;instructions;filename;default/welcome_task.txt
0:00:00;instructions;start
0:00:00;labstreaminglayer;pauseatstart;true
0:00:00;labstreaminglayer;streamsession;true
0:00:00;labstreaminglayer;start
0:00:00;track;start
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:00;communications;voicegender;male
0:00:00;communications;voiceidiom;english
0:00:00;sysmon;lights-1-failure;True
0:00:00;sysmon;scales-1-failure;True
0:00:00;resman;tank-a-lossperminute;819
0:00:00;resman;tank-b-lossperminute;850
0:00:00;track;targetproportion;0.30000000000000004
0:00:05;communications;radioprompt;own
0:00:11;sysmon;lights-2-failure;True
0:00:11;sysmon;scales-1-failure;True
0:00:16;communications;radioprompt;own
0:00:22;sysmon;lights-2-failure;True
0:00:22;sysmon;scales-1-failure;True
0:00:27;communications;radioprompt;other
0:00:33;sysmon;lights-2-failure;True
0:00:33;sysmon;scales-2-failure;True
0:00:38;communications;radioprompt;other
0:00:44;sysmon;lights-2-failure;True
0:00:44;sysmon;scales-1-failure;True
0:00:49;communications;radioprompt;own
0:00:55;sysmon;lights-1-failure;True
0:00:55;sysmon;scales-4-failure;True
0:01:00;communications;radioprompt;other
0:01:06;sysmon;lights-1-failure;True
0:01:06;sysmon;scales-3-failure;True
0:01:11;communications;radioprompt;other
0:01:17;sysmon;lights-2-failure;True
0:01:17;sysmon;scales-1-failure;True
0:01:22;communications;radioprompt;other
0:01:28;sysmon;lights-1-failure;True
0:01:28;sysmon;scales-1-failure;True
0:01:33;communications;radioprompt;other
0:01:39;sysmon;lights-1-failure;True
0:01:39;sysmon;scales-4-failure;True
0:01:44;communications;radioprompt;own
0:01:50;sysmon;lights-1-failure;True
0:01:50;sysmon;scales-4-failure;True
0:01:55;communications;radioprompt;own
0:02:01;sysmon;lights-1-failure;True
0:02:01;sysmon;scales-1-failure;True
0:02:06;communications;radioprompt;other
0:02:12;sysmon;lights-2-failure;True
0:02:12;sysmon;scales-2-failure;True
0:02:17;communications;radioprompt;own
0:02:23;sysmon;lights-1-failure;True
0:02:23;sysmon;scales-4-failure;True
0:02:28;communications;radioprompt;own
0:02:34;sysmon;lights-1-failure;True
0:02:34;sysmon;scales-1-failure;True
0:02:39;communications;radioprompt;other
0:02:45;sysmon;lights-1-failure;True
0:02:45;sysmon;scales-3-failure;True
0:02:50;communications;radioprompt;other
0:02:56;sysmon;lights-2-failure;True
0:02:56;sysmon;scales-4-failure;True
0:03:01;communications;radioprompt;own
0:03:07;sysmon;lights-1-failure;True
0:03:07;sysmon;scales-1-failure;True
0:03:12;communications;radioprompt;own
0:03:18;sysmon;lights-2-failure;True
0:03:18;sysmon;scales-3-failure;True
0:03:23;communications;radioprompt;own
0:03:29;sysmon;lights-2-failure;True
0:03:29;sysmon;scales-3-failure;True
0:03:34;communications;radioprompt;own
0:03:40;sysmon;lights-2-failure;True
0:03:40;sysmon;scales-4-failure;True
0:03:45;communications;radioprompt;other
0:03:51;sysmon;lights-2-failure;True
0:03:54;sysmon;scales-3-failure;True
0:03:56;communications;radioprompt;other
0:04:05;sysmon;lights-2-failure;True
0:04:05;sysmon;scales-4-failure;True
0:04:07;communications;radioprompt;other
0:04:16;sysmon;lights-1-failure;True
0:04:16;sysmon;scales-2-failure;True
0:04:18;communications;radioprompt;own
0:04:27;sysmon;lights-2-failure;True
0:04:27;sysmon;scales-2-failure;True
0:04:29;communications;radioprompt;other
0:04:38;sysmon;lights-1-failure;True
0:04:38;sysmon;scales-3-failure;True
0:04:40;communications;radioprompt;other
0:04:49;sysmon;lights-2-failure;True
0:04:49;sysmon;scales-3-failure;True
0:04:51;communications;radioprompt;other
0:05:00;sysmon;lights-2-failure;True
0:05:00;sysmon;scales-3-failure;True
0:05:02;communications;radioprompt;own
0:05:11;sysmon;scales-4-failure;True
0:05:13;communications;radioprompt;own
0:05:22;sysmon;scales-2-failure;True
0:05:24;communications;radioprompt;other
0:05:25;sysmon;lights-2-failure;True
0:05:33;sysmon;scales-2-failure;True
0:05:35;communications;radioprompt;other
0:05:36;sysmon;lights-2-failure;True
0:05:44;sysmon;scales-4-failure;True
0:05:46;communications;radioprompt;other
0:05:47;sysmon;lights-1-failure;True
0:05:55;sysmon;scales-3-failure;True
0:05:57;communications;radioprompt;other
0:05:58;sysmon;lights-2-failure;True
0:06:06;sysmon;scales-1-failure;True
0:06:08;communications;radioprompt;own
0:06:09;sysmon;lights-2-failure;True
0:06:17;sysmon;scales-3-failure;True
0:06:19;communications;radioprompt;own
0:06:20;sysmon;lights-1-failure;True
0:06:28;sysmon;scales-3-failure;True
0:06:30;communications;radioprompt;other
0:06:39;sysmon;scales-3-failure;True
0:06:41;communications;radioprompt;other
0:06:50;sysmon;scales-2-failure;True
0:06:52;communications;radioprompt;other
0:07:01;sysmon;scales-4-failure;True
0:07:03;communications;radioprompt;other
0:07:12;sysmon;scales-3-failure;True
0:07:14;communications;radioprompt;own
0:07:23;sysmon;scales-1-failure;True
0:07:25;communications;radioprompt;other
0:07:34;sysmon;scales-4-failure;True
0:07:35;sysmon;lights-2-failure;True
0:07:36;communications;radioprompt;own
0:07:46;sysmon;lights-2-failure;True
0:07:47;sysmon;scales-1-failure;True
0:07:47;communications;radioprompt;other
0:07:57;sysmon;lights-2-failure;True
0:07:58;sysmon;scales-4-failure;True
0:07:58;communications;radioprompt;other
0:08:08;sysmon;lights-1-failure;True
0:08:09;sysmon;scales-1-failure;True
0:08:09;communications;radioprompt;own
0:08:19;sysmon;lights-2-failure;True
0:08:20;sysmon;scales-4-failure;True
0:08:20;communications;radioprompt;own
0:08:30;sysmon;lights-1-failure;True
0:08:31;sysmon;scales-3-failure;True
0:08:31;communications;radioprompt;other
0:08:41;sysmon;lights-2-failure;True
0:08:42;sysmon;scales-2-failure;True
0:08:42;communications;radioprompt;own
0:08:52;sysmon;lights-1-failure;True
0:08:53;sysmon;scales-4-failure;True
0:08:53;communications;radioprompt;own
0:09:03;sysmon;lights-1-failure;True
0:09:04;sysmon;scales-1-failure;True
0:09:04;communications;radioprompt;own
0:09:14;sysmon;lights-2-failure;True
0:09:15;sysmon;scales-3-failure;True
0:09:25;sysmon;lights-1-failure;True
0:09:26;sysmon;scales-2-failure;True
0:09:36;sysmon;lights-1-failure;True
0:09:37;sysmon;scales-2-failure;True
0:09:47;sysmon;lights-1-failure;True
0:09:48;sysmon;scales-3-failure;True
0:09:58;sysmon;lights-1-failure;True
0:09:59;sysmon;scales-3-failure;True
0:10:09;sysmon;lights-2-failure;True
0:10:10;sysmon;scales-4-failure;True
0:10:20;sysmon;lights-2-failure;True
0:10:21;sysmon;scales-1-failure;True
0:10:31;sysmon;lights-2-failure;True
0:10:32;sysmon;scales-1-failure;True
0:10:43;sysmon;scales-1-failure;True
0:10:54;sysmon;scales-3-failure;True
0:11:07;sysmon;scales-2-failure;True
0:11:18;sysmon;scales-4-failure;True
0:11:29;sysmon;scales-2-failure;True
0:11:40;sysmon;scales-1-failure;True
0:11:51;sysmon;scales-3-failure;True
0:12:02;sysmon;scales-2-failure;True
0:12:13;sysmon;scales-2-failure;True
0:12:24;sysmon;scales-2-failure;True
0:12:35;sysmon;scales-1-failure;True
0:12:46;sysmon;scales-2-failure;True
0:12:57;sysmon;scales-2-failure;True
0:13:08;sysmon;scales-2-failure;True
0:13:19;sysmon;scales-4-failure;True
0:13:22;communications;radioprompt;own
0:13:30;sysmon;scales-2-failure;True
0:13:33;communications;radioprompt;other
0:13:44;communications;radioprompt;other
0:13:55;communications;radioprompt;own
0:14:06;communications;radioprompt;own
0:14:17;communications;radioprompt;own
0:14:28;communications;radioprompt;own
0:14:39;communications;radioprompt;own
0:14:50;communications;radioprompt;other
0:15:01;communications;radioprompt;own
0:15:12;communications;radioprompt;own
0:15:23;communications;radioprompt;own
0:15:34;communications;radioprompt;other
0:15:45;communications;radioprompt;other
0:15:56;communications;radioprompt;other
0:16:07;communications;radioprompt;own
0:16:18;communications;radioprompt;own
0:16:29;communications;radioprompt;other
0:16:40;communications;radioprompt;own
0:16:51;communications;radioprompt;other
0:17:02;sysmon;lights-1-failure;True
0:17:02;communications;radioprompt;own
0:17:13;sysmon;lights-1-failure;True
0:17:13;communications;radioprompt;other
0:17:24;sysmon;lights-2-failure;True
0:17:24;communications;radioprompt;own
0:17:35;sysmon;lights-2-failure;True
0:17:35;communications;radioprompt;own
0:17:46;sysmon;lights-1-failure;True
0:17:46;communications;radioprompt;own
0:17:57;sysmon;lights-2-failure;True
0:17:57;communications;radioprompt;own
0:18:08;sysmon;lights-1-failure;True
0:18:08;communications;radioprompt;own
0:18:19;sysmon;lights-1-failure;True
0:18:19;communications;radioprompt;own
0:18:30;sysmon;lights-2-failure;True
0:18:31;communications;radioprompt;own
0:18:41;sysmon;lights-1-failure;True
0:18:42;communications;radioprompt;other
0:18:52;sysmon;lights-1-failure;True
0:18:53;communications;radioprompt;own
0:19:03;sysmon;lights-2-failure;True
0:19:04;communications;radioprompt;other
0:19:14;sysmon;lights-2-failure;True
0:19:15;communications;radioprompt;other
0:19:25;sysmon;lights-1-failure;True
0:19:26;communications;radioprompt;other
0:19:36;sysmon;lights-1-failure;True
0:19:37;communications;radioprompt;own
0:19:47;sysmon;lights-1-failure;True
0:19:48;communications;radioprompt;other
0:19:58;sysmon;lights-2-failure;True
0:19:59;communications;radioprompt;own
0:20:09;sysmon;lights-1-failure;True
0:20:10;communications;radioprompt;other
0:20:20;sysmon;lights-2-failure;True
0:20:21;communications;radioprompt;own
0:20:31;sysmon;lights-2-failure;True
0:20:42;sysmon;lights-2-failure;True
0:20:53;sysmon;lights-1-failure;True
0:21:04;sysmon;lights-2-failure;True
0:21:15;sysmon;lights-1-failure;True
0:21:26;sysmon;lights-2-failure;True
0:21:37;sysmon;lights-1-failure;True
0:21:48;sysmon;lights-2-failure;True
0:21:59;sysmon;lights-1-failure;True
0:22:10;sysmon;lights-1-failure;True
0:22:21;sysmon;lights-1-failure;True
0:22:32;sysmon;lights-1-failure;True
0:22:43;sysmon;lights-2-failure;True
0:22:54;sysmon;lights-2-failure;True
0:23:05;sysmon;lights-1-failure;True
0:23:16;sysmon;lights-1-failure;True
0:23:26;sysmon;scales-2-failure;True
0:23:27;sysmon;lights-2-failure;True
0:23:37;sysmon;scales-3-failure;True
0:23:38;sysmon;lights-1-failure;True
0:23:48;sysmon;scales-4-failure;True
0:23:49;sysmon;lights-1-failure;True
0:23:58;communications;radioprompt;own
0:23:59;sysmon;scales-1-failure;True
0:24:00;sysmon;lights-2-failure;True
0:24:09;communications;radioprompt;own
0:24:10;sysmon;scales-2-failure;True
0:24:11;sysmon;lights-2-failure;True
0:24:20;communications;radioprompt;other
0:24:21;sysmon;scales-3-failure;True
0:24:22;sysmon;lights-1-failure;True
0:24:31;communications;radioprompt;other
0:24:32;sysmon;scales-1-failure;True
0:24:33;sysmon;lights-1-failure;True
0:24:42;communications;radioprompt;own
0:24:43;sysmon;scales-3-failure;True
0:24:53;communications;radioprompt;other
0:24:54;sysmon;scales-1-failure;True
0:25:04;communications;radioprompt;own
0:25:05;sysmon;scales-1-failure;True
0:25:06;sysmon;lights-2-failure;True
0:25:15;communications;radioprompt;own
0:25:16;sysmon;scales-1-failure;True
0:25:17;sysmon;lights-1-failure;True
0:25:26;communications;radioprompt;other
0:25:27;sysmon;scales-2-failure;True
0:25:28;sysmon;lights-2-failure;True
0:25:37;communications;radioprompt;own
0:25:38;sysmon;scales-3-failure;True
0:25:39;sysmon;lights-1-failure;True
0:25:48;communications;radioprompt;other
0:25:49;sysmon;scales-1-failure;True
0:25:50;sysmon;lights-1-failure;True
0:25:59;communications;radioprompt;other
0:26:00;sysmon;scales-2-failure;True
0:26:01;sysmon;lights-2-failure;True
0:26:10;communications;radioprompt;other
0:26:11;sysmon;scales-1-failure;True
0:26:12;sysmon;lights-2-failure;True
0:26:22;sysmon;scales-1-failure;True
0:26:23;sysmon;lights-1-failure;True
0:26:33;sysmon;scales-1-failure;True
0:26:34;sysmon;lights-2-failure;True
0:26:44;sysmon;scales-3-failure;True
0:26:45;sysmon;lights-2-failure;True
0:26:48;communications;radioprompt;other
0:26:55;sysmon;scales-3-failure;True
0:26:56;sysmon;lights-2-failure;True
0:26:59;communications;radioprompt;own
0:27:06;sysmon;scales-2-failure;True
0:27:07;sysmon;lights-2-failure;True
0:27:10;communications;radioprompt;other
0:27:17;sysmon;scales-2-failure;True
0:27:18;sysmon;lights-2-failure;True
0:27:23;communications;radioprompt;own
0:27:28;sysmon;scales-2-failure;True
0:27:29;sysmon;lights-1-failure;True
0:27:34;communications;radioprompt;other
0:27:40;sysmon;lights-1-failure;True
0:27:40;sysmon;scales-4-failure;True
0:27:45;communications;radioprompt;other
0:27:51;sysmon;lights-1-failure;True
0:27:51;sysmon;scales-4-failure;True
0:27:56;communications;radioprompt;own
0:28:02;sysmon;lights-2-failure;True
0:28:02;sysmon;scales-2-failure;True
0:28:07;communications;radioprompt;own
0:28:13;sysmon;lights-1-failure;True
0:28:13;sysmon;scales-1-failure;True
0:28:18;communications;radioprompt;own
0:28:24;sysmon;lights-2-failure;True
0:28:24;sysmon;scales-4-failure;True
0:28:29;communications;radioprompt;other
0:28:35;sysmon;lights-2-failure;True
0:28:35;sysmon;scales-3-failure;True
0:28:40;communications;radioprompt;other
0:28:46;sysmon;lights-1-failure;True
0:28:46;sysmon;scales-3-failure;True
0:28:51;communications;radioprompt;other
0:28:57;sysmon;lights-1-failure;True
0:28:57;sysmon;scales-2-failure;True
0:29:02;communications;radioprompt;own
0:29:08;sysmon;lights-1-failure;True
0:29:08;sysmon;scales-4-failure;True
0:29:13;communications;radioprompt;other
0:29:19;sysmon;lights-2-failure;True
0:29:19;sysmon;scales-4-failure;True
0:29:24;communications;radioprompt;other
0:29:30;sysmon;lights-2-failure;True
0:29:30;sysmon;scales-2-failure;True
0:29:35;communications;radioprompt;other
0:29:41;sysmon;lights-1-failure;True
0:29:41;sysmon;scales-2-failure;True
0:29:46;communications;radioprompt;other
0:29:52;sysmon;lights-2-failure;True
0:29:52;sysmon;scales-3-failure;True
0:29:57;communications;radioprompt;other
0:30:03;sysmon;lights-2-failure;True
0:30:03;sysmon;scales-4-failure;True
0:30:08;communications;radioprompt;own
0:30:14;sysmon;lights-2-failure;True
0:30:14;sysmon;scales-2-failure;True
0:30:19;communications;radioprompt;own
0:30:25;sysmon;lights-1-failure;True
0:30:25;sysmon;scales-1-failure;True
0:30:36;sysmon;lights-2-failure;True
0:30:36;sysmon;scales-1-failure;True
0:30:47;sysmon;lights-2-failure;True
0:30:47;sysmon;scales-4-failure;True
0:30:58;sysmon;lights-2-failure;True
0:30:59;sysmon;scales-3-failure;True
0:31:09;sysmon;lights-1-failure;True
0:31:10;sysmon;scales-1-failure;True
0:31:20;sysmon;lights-2-failure;True
0:31:21;sysmon;scales-4-failure;True
0:31:31;sysmon;lights-1-failure;True
0:31:32;sysmon;scales-3-failure;True
0:31:42;sysmon;lights-1-failure;True
0:31:43;sysmon;scales-3-failure;True
0:31:48;communications;radioprompt;other
0:31:53;sysmon;lights-1-failure;True
0:31:54;sysmon;scales-2-failure;True
0:31:59;communications;radioprompt;other
0:32:04;sysmon;lights-1-failure;True
0:32:05;sysmon;scales-1-failure;True
0:32:10;communications;radioprompt;own
0:32:16;sysmon;scales-3-failure;True
0:32:21;communications;radioprompt;other
0:32:27;sysmon;scales-2-failure;True
0:32:32;communications;radioprompt;other
0:32:38;sysmon;scales-4-failure;True
0:32:41;sysmon;lights-1-failure;True
0:32:43;communications;radioprompt;other
0:32:49;sysmon;scales-2-failure;True
0:32:52;sysmon;lights-2-failure;True
0:32:54;communications;radioprompt;own
0:33:00;sysmon;scales-4-failure;True
0:33:03;sysmon;lights-2-failure;True
0:33:05;communications;radioprompt;own
0:33:14;sysmon;lights-1-failure;True
0:33:16;communications;radioprompt;own
0:33:19;sysmon;scales-3-failure;True
0:33:25;sysmon;lights-1-failure;True
0:33:27;communications;radioprompt;own
0:33:30;sysmon;scales-4-failure;True
0:33:38;communications;radioprompt;own
0:33:41;sysmon;scales-4-failure;True
0:33:49;communications;radioprompt;other
0:33:52;sysmon;scales-1-failure;True
0:34:00;communications;radioprompt;own
0:34:03;sysmon;scales-4-failure;True
0:34:11;communications;radioprompt;own
0:34:14;sysmon;scales-4-failure;True
0:34:22;communications;radioprompt;own
0:34:25;sysmon;scales-4-failure;True
0:34:33;communications;radioprompt;other
0:34:36;sysmon;scales-3-failure;True
0:34:44;communications;radioprompt;other
0:34:47;sysmon;scales-2-failure;True
0:34:55;communications;radioprompt;other
0:34:58;sysmon;scales-4-failure;True
0:35:06;communications;radioprompt;other
0:35:17;communications;radioprompt;own
0:35:28;communications;radioprompt;own
0:35:39;communications;radioprompt;other
0:36:00;track;stop
0:36:00;sysmon;stop
0:36:00;communications;stop
0:36:00;resman;stop
0:36:00;labstreaminglayer;stop
0:36:00;genericscales;filename;nasatlx_en.txt
0:36:00;genericscales;start
0:36:00;instructions;filename;default/end_task.txt
0:36:00;instructions;start
